[INFO] [launch]: All log files can be found below /home/rpi/.ros/log/2026-07-28-01-58-52-307643-rpi-58977
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [mavros_node-1]: process started with pid [58988]
[mavros_node-1] [INFO] [1785203932.584487997] [mavros.mavros_node]: Starting mavros_node container
[mavros_node-1] [INFO] [1785203932.584592720] [mavros.mavros_node]: FCU URL: serial:///dev/ttyAMA10:460800
[mavros_node-1] [INFO] [1785203932.584604461] [mavros.mavros_node]: GCS URL:
[mavros_node-1] [INFO] [1785203932.584612498] [mavros.mavros_node]: UAS Prefix: /uas1
[mavros_node-1] [INFO] [1785203932.584619646] [mavros.mavros_node]: Starting mavros router node
[mavros_node-1] [INFO] [1785203932.595940858] [mavros.mavros_router]: Built-in SIMD instructions: ARM NEON
[mavros_node-1] [INFO] [1785203932.595980117] [mavros.mavros_router]: Built-in MAVLink package version: 2026.6.19
[mavros_node-1] [INFO] [1785203932.595990284] [mavros.mavros_router]: Known MAVLink dialects: common ardupilotmega ASLUAV AVSSUAS all csAirLink cubepilot development icarous loweheiser marsh paparazzi standard stemstudios storm32 uAvionix ualberta
[mavros_node-1] [INFO] [1785203932.595999599] [mavros.mavros_router]: MAVROS Router started
[mavros_node-1] [INFO] [1785203932.596164600] [mavros.mavros_node]: Starting mavros uas node
[mavros_node-1] [INFO] [1785203932.630991184] [mavros.mavros_router]: Requested to add endpoint: type: 0, url: serial:///dev/ttyAMA10:460800
[mavros_node-1] [INFO] [1785203932.631064703] [mavros.mavros_router]: Endpoint link[1000] created
[mavros_node-1] [INFO] [1785203932.631468094] [mavros.mavros_router]: link[1000] opened successfully
[mavros_node-1] [INFO] [1785203932.631501798] [mavros.mavros_router]: Requested to add endpoint: type: 2, url: /uas1
[mavros_node-1] [INFO] [1785203932.631529502] [mavros.mavros_router]: Endpoint link[1001] created
[mavros_node-1] [INFO] [1785203932.635532765] [mavros.mavros_router]: link[1001] opened successfully
[mavros_node-1] [INFO] [1785203932.640982388] [mavros.mavros]: UAS Executor started, threads: 4
[mavros_node-1] [WARN] [1785203932.641014814] [mavros.mavros]: plugin_denylist pattern 'image_pub' does not match any declared plugin
[mavros_node-1] [INFO] [1785203932.667984465] [mavros.mavros_router]: link[1000] detected remote address 1.1
[mavros_node-1] [INFO] [1785203932.670625684] [mavros.mavros]: Plugin actuator_control created
[mavros_node-1] [INFO] [1785203932.670702073] [mavros.mavros]: Plugin actuator_control initialized
[mavros_node-1] [INFO] [1785203932.711359079] [mavros.mavros]: Plugin adsb created
[mavros_node-1] [INFO] [1785203932.711424450] [mavros.mavros]: Plugin adsb initialized
[mavros_node-1] [INFO] [1785203932.722120565] [mavros.mavros]: Plugin altitude created
[mavros_node-1] [INFO] [1785203932.722185417] [mavros.mavros]: Plugin altitude initialized
[mavros_node-1] [INFO] [1785203932.732984015] [mavros.mavros]: Plugin cam_imu_sync created
[mavros_node-1] [INFO] [1785203932.733051126] [mavros.mavros]: Plugin cam_imu_sync initialized
[mavros_node-1] [INFO] [1785203932.744296486] [mavros.mavros]: Plugin camera created
[mavros_node-1] [INFO] [1785203932.744360505] [mavros.mavros]: Plugin camera initialized
[mavros_node-1] [INFO] [1785203932.756306331] [mavros.mavros]: Plugin cellular_status created
[mavros_node-1] [INFO] [1785203932.756373276] [mavros.mavros]: Plugin cellular_status initialized
[mavros_node-1] [INFO] [1785203932.778255065] [mavros.mavros]: Plugin command created
[mavros_node-1] [INFO] [1785203932.778324251] [mavros.mavros]: Plugin command initialized
[mavros_node-1] [INFO] [1785203932.791240156] [mavros.mavros]: Plugin companion_process_status created
[mavros_node-1] [INFO] [1785203932.791296471] [mavros.mavros]: Plugin companion_process_status initialized
[mavros_node-1] [INFO] [1785203932.807791860] [mavros.mavros]: Plugin debug_value created
[mavros_node-1] [INFO] [1785203932.807860675] [mavros.mavros]: Plugin debug_value initialized
[mavros_node-1] [INFO] [1785203932.807874601] [mavros.mavros]: Plugin distance_sensor ignored
[mavros_node-1] [INFO] [1785203932.823102057] [mavros.mavros]: Plugin esc_status created
[mavros_node-1] [INFO] [1785203932.823219224] [mavros.mavros]: Plugin esc_status initialized
[mavros_node-1] [INFO] [1785203932.838029530] [mavros.mavros]: Plugin esc_telemetry created
[mavros_node-1] [INFO] [1785203932.838098308] [mavros.mavros]: Plugin esc_telemetry initialized
[mavros_node-1] [INFO] [1785203932.857130655] [mavros.mavros]: Plugin fake_gps created
[mavros_node-1] [INFO] [1785203932.857191378] [mavros.mavros]: Plugin fake_gps initialized
[mavros_node-1] [INFO] [1785203932.887024730] [mavros.mavros]: Plugin ftp created
[mavros_node-1] [INFO] [1785203932.887508548] [mavros.mavros]: Plugin ftp initialized
[mavros_node-1] [INFO] [1785203932.907998589] [mavros.mavros]: Plugin geofence created
[mavros_node-1] [INFO] [1785203932.908089922] [mavros.mavros]: Plugin geofence initialized
[mavros_node-1] [INFO] [1785203932.938417704] [mavros.mavros]: Plugin gimbal_control created
[mavros_node-1] [INFO] [1785203932.938498037] [mavros.mavros]: Plugin gimbal_control initialized
[mavros_node-1] [INFO] [1785203932.969333655] [mavros.mavros]: Plugin global_position created
[mavros_node-1] [INFO] [1785203932.969404007] [mavros.mavros]: Plugin global_position initialized
[mavros_node-1] [INFO] [1785203932.988540040] [mavros.mavros]: Plugin gps_input created
[mavros_node-1] [INFO] [1785203932.988614911] [mavros.mavros]: Plugin gps_input initialized
[mavros_node-1] [INFO] [1785203933.008306836] [mavros.mavros]: Plugin gps_rtk created
[mavros_node-1] [INFO] [1785203933.008381133] [mavros.mavros]: Plugin gps_rtk initialized
[mavros_node-1] [INFO] [1785203933.029978976] [mavros.mavros]: Plugin gps_status created
